Stationscode;Datum;"Feinstaub (PM₁₀) Tagesmittel (stündlich gleitend) in µg/m³";"Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³";"Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³";"Feinstaub (PM₂,₅) Tagesmittel (stündlich gleitend) in µg/m³";Luftqualitätsindex
DENW053;"'01.06.2023 01:00'";16;-;15;-;"sehr gut"
DENW053;"'01.06.2023 02:00'";16;48;22;-;gut
DENW053;"'01.06.2023 03:00'";16;51;18;-;"sehr gut"
DENW053;"'01.06.2023 04:00'";16;42;21;-;gut
DENW053;"'01.06.2023 05:00'";16;46;14;-;"sehr gut"
DENW053;"'01.06.2023 06:00'";16;42;17;-;"sehr gut"
DENW053;"'01.06.2023 07:00'";16;38;16;-;"sehr gut"
DENW053;"'01.06.2023 08:00'";16;38;15;-;"sehr gut"
DENW053;"'01.06.2023 09:00'";16;37;14;-;"sehr gut"
DENW053;"'01.06.2023 10:00'";17;39;15;-;"sehr gut"
DENW053;"'01.06.2023 11:00'";16;43;-;-;"sehr gut"
DENW053;"'01.06.2023 12:00'";17;54;13;-;"sehr gut"
DENW053;"'01.06.2023 13:00'";17;62;15;-;gut
DENW053;"'01.06.2023 14:00'";18;75;16;-;gut
DENW053;"'01.06.2023 15:00'";19;85;15;-;gut
DENW053;"'01.06.2023 16:00'";19;96;10;-;gut
DENW053;"'01.06.2023 17:00'";19;-;8;-;"sehr gut"
DENW053;"'01.06.2023 18:00'";19;98;8;-;gut
DENW053;"'01.06.2023 19:00'";19;92;9;-;gut
DENW053;"'01.06.2023 20:00'";19;93;8;-;gut
DENW053;"'01.06.2023 21:00'";19;89;9;-;gut
DENW053;"'01.06.2023 22:00'";19;68;8;-;gut
DENW053;"'01.06.2023 23:00'";19;63;9;-;gut
DENW053;"'01.06.2023 24:00'";19;62;10;-;gut
DENW053;"'02.06.2023 01:00'";19;62;9;-;gut
DENW053;"'02.06.2023 02:00'";19;63;10;-;gut
DENW053;"'02.06.2023 03:00'";19;68;6;-;gut
DENW053;"'02.06.2023 04:00'";19;70;5;-;gut
DENW053;"'02.06.2023 05:00'";19;68;5;-;gut
DENW053;"'02.06.2023 06:00'";19;71;5;-;gut
DENW053;"'02.06.2023 07:00'";20;71;7;-;gut
DENW053;"'02.06.2023 08:00'";19;75;8;-;gut
DENW053;"'02.06.2023 09:00'";20;73;10;-;gut
DENW053;"'02.06.2023 10:00'";20;72;9;-;gut
DENW053;"'02.06.2023 11:00'";20;73;9;-;gut
DENW053;"'02.06.2023 12:00'";20;73;-;-;gut
DENW053;"'02.06.2023 13:00'";20;77;8;-;gut
DENW053;"'02.06.2023 14:00'";20;85;6;-;gut
DENW053;"'02.06.2023 15:00'";19;92;6;-;gut
