
Datum;Zeit;F[%];NO[g/m2];NO2[g/m];PM10F[g/m];T[°C];WG[m/s];WR
08.05.2023;01:00;82,9;<7;22;<10;17,2;0,4;
08.05.2023;02:00;83,5;<7;17;<10;16,8;0,4;
08.05.2023;03:00;84,4;<7;18;<10;16,3;0,5;
08.05.2023;04:00;83,5;;;<10;16,1;0,5;
08.05.2023;05:00;82,7;9;21;<10;16,1;0,2;
08.05.2023;06:00;83,5;23;27;10;15,5;0,7;
08.05.2023;07:00;84,5;27;26;11;15,1;0,9;220
08.05.2023;08:00;84,9;26;24;11;15,0;1,1;221
08.05.2023;09:00;82,6;;;11;15,6;1,1;218
08.05.2023;10:00;76,6;11;18;12;16,7;1,4;223
08.05.2023;11:00;74,6;16;23;12;17,6;0,8;246
08.05.2023;12:00;76,3;22;27;13;17,5;1,0;219
08.05.2023;13:00;79,0;13;19;13;16,8;1,5;217
08.05.2023;14:00;78,8;15;21;14;16,9;1,1;223
08.05.2023;15:00;76,2;13;24;14;17,7;0,9;
08.05.2023;16:00;73,4;10;20;15;18,5;1,2;228
08.05.2023;17:00;67,9;<7;18;15;19,9;1,6;224
08.05.2023;18:00;66,9;<7;20;15;20,2;1,2;222
08.05.2023;19:00;67,2;7;29;15;20,1;1,2;221
08.05.2023;20:00;70,5;7;29;16;19,4;1,0;215
08.05.2023;21:00;72,1;12;35;16;18,9;0,5;
08.05.2023;22:00;75,8;7;31;16;18,0;0,9;215
08.05.2023;23:00;79,0;<7;27;17;17,1;1,0;218
08.05.2023;24:00;81,3;<7;22;17;16,4;0,9;217
09.05.2023;01:00;82,5;<7;21;17;16,1;1,1;219
09.05.2023;02:00;83,7;<7;22;18;15,8;1,2;221
09.05.2023;03:00;83,5;<7;26;18;15,8;1,0;223
09.05.2023;04:00;82,8;<7;21;19;15,9;0,8;219
09.05.2023;05:00;81,2;14;29;19;16,1;0,6;
09.05.2023;06:00;81,5;35;36;19;16,0;0,8;217
