
Datum;Zeit;F[%];NO[g/m];NO2[g/m];PM10F[g/m];T[°C];WG[m/s];WR
08.05.2023;01:00;;;;;;;
08.05.2023;02:00;;;;;;;
08.05.2023;03:00;;;;;;;
08.05.2023;04:00;;;;;;;
08.05.2023;05:00;;;;;;;
08.05.2023;06:00;86,2;;;;15,0;1,8;218
08.05.2023;07:00;85,6;9;28;;14,8;1,9;225
08.05.2023;08:00;85,7;11;27;;15,0;2,0;215
08.05.2023;09:00;84,5;13;23;;15,3;2,1;214
08.05.2023;10:00;79,2;9;18;;16,4;2,0;211
08.05.2023;11:00;76,9;8;23;;17,0;1,7;215
08.05.2023;12:00;78,3;7;22;;16,8;2,1;221
08.05.2023;13:00;79,8;9;20;;16,6;2,1;222
08.05.2023;14:00;78,7;9;22;;16,9;1,9;228
08.05.2023;15:00;76,9;<7;23;;17,4;1,8;230
08.05.2023;16:00;75,3;<7;17;;18,1;1,9;220
08.05.2023;17:00;69,2;<7;15;;19,7;2,1;224
08.05.2023;18:00;68,9;<7;18;;19,9;1,9;220
08.05.2023;19:00;70,3;<7;17;;19,7;2,3;217
08.05.2023;20:00;72,7;<7;22;;19,1;2,1;223
08.05.2023;21:00;75,1;<7;39;;18,5;1,6;224
08.05.2023;22:00;77,5;<7;34;;17,8;1,9;218
08.05.2023;23:00;79,8;<7;25;15;17,1;2,0;218
08.05.2023;24:00;81,3;<7;25;15;16,6;1,9;219
09.05.2023;01:00;82,6;<7;24;15;16,2;1,7;215
09.05.2023;02:00;83,6;<7;26;15;15,9;1,5;211
09.05.2023;03:00;84,0;<7;25;15;15,8;1,7;211
09.05.2023;04:00;84,4;<7;21;16;15,6;1,9;213
09.05.2023;05:00;85,1;<7;18;16;15,4;1,8;216
09.05.2023;06:00;84,8;7;28;16;15,6;1,7;218
09.05.2023;07:00;84,5;;;16;15,8;2,1;216
09.05.2023;08:00;83,2;15;26;17;16,6;2,3;214
09.05.2023;09:00;74,5;12;23;17;18,3;2,1;206
09.05.2023;10:00;63,7;7;16;17;19,7;2,0;202
09.05.2023;11:00;58,7;<7;17;16;20,5;2,4;208
09.05.2023;12:00;58,2;<7;20;16;20,8;2,3;207
09.05.2023;13:00;58,6;<7;21;16;21,1;2,5;212
09.05.2023;14:00;57,9;<7;17;15;21,6;2,5;213
09.05.2023;15:00;53,9;7;24;15;22,1;1,6;196
09.05.2023;16:00;63,2;8;22;15;20,8;1,9;182
09.05.2023;17:00;81,1;18;34;15;18,2;1,0;160
09.05.2023;18:00;82,7;23;38;15;17,9;0,8;153
09.05.2023;19:00;82,7;<7;32;15;17,4;1,1;198
09.05.2023;20:00;84,7;12;29;15;16,6;1,0;78
09.05.2023;21:00;88,3;<7;21;14;14,8;1,2;91
09.05.2023;22:00;88,1;<7;17;14;13,9;0,9;149
09.05.2023;23:00;88,6;<7;16;13;13,8;0,8;164
09.05.2023;24:00;89,2;<7;14;13;13,8;0,9;170
10.05.2023;01:00;89,9;<7;12;13;13,7;0,9;177
10.05.2023;02:00;90,2;<7;16;12;13,7;0,9;174
10.05.2023;03:00;90,3;<7;13;12;13,9;0,9;184
10.05.2023;04:00;90,6;<7;12;11;13,5;1,2;42
10.05.2023;05:00;91,0;<7;17;10;13,5;0,6;162
10.05.2023;06:00;90,4;11;29;<10;13,8;0,7;145
10.05.2023;07:00;89,2;18;34;<10;13,9;0,8;161
10.05.2023;08:00;86,5;;;<10;14,2;0,9;167
10.05.2023;09:00;86,4;24;37;<10;14,2;0,8;158
10.05.2023;10:00;87,8;34;39;<10;14,4;0,8;85
10.05.2023;11:00;87,4;21;29;<10;14,5;1,2;79
10.05.2023;12:00;79,8;14;24;<10;15,5;1,4;125
10.05.2023;13:00;73,3;18;26;<10;16,5;1,4;161
10.05.2023;14:00;68,2;14;25;<10;17,0;1,2;162
10.05.2023;15:00;64,2;8;18;<10;17,8;1,5;104
10.05.2023;16:00;62,4;10;23;<10;18,2;1,2;133
10.05.2023;17:00;63,9;10;25;<10;18,0;1,2;57
10.05.2023;18:00;63,9;12;27;<10;18,1;1,4;124
10.05.2023;19:00;70,0;8;28;<10;16,9;1,2;208
10.05.2023;20:00;77,0;<7;25;<10;15,8;1,2;32
10.05.2023;21:00;83,8;<7;33;<10;14,6;1,0;295
10.05.2023;22:00;85,8;<7;35;<10;14,2;0,7;
10.05.2023;23:00;84,5;<7;39;<10;14,0;0,6;
10.05.2023;24:00;84,4;<7;40;<10;14,1;1,2;214
11.05.2023;01:00;85,4;<7;28;<10;13,8;1,6;187
11.05.2023;02:00;83,2;<7;<10;<10;12,9;1,2;161
11.05.2023;03:00;83,8;<7;<10;<10;12,4;1,2;37
11.05.2023;04:00;84,9;<7;14;<10;12,8;1,1;185
11.05.2023;05:00;84,9;<7;20;<10;12,6;0,8;172
11.05.2023;06:00;84,4;14;31;<10;12,8;0,6;141
11.05.2023;07:00;82,7;28;42;<10;13,2;0,7;170
11.05.2023;08:00;81,9;29;40;10;13,7;0,9;161
11.05.2023;09:00;78,8;;;10;14,3;0,8;59
11.05.2023;10:00;75,3;26;34;11;15,1;1,1;152
11.05.2023;11:00;72,0;23;34;11;15,5;1,2;55
11.05.2023;12:00;70,8;16;29;11;16,0;1,2;67
11.05.2023;13:00;68,7;15;28;11;16,7;1,2;93
11.05.2023;14:00;68,9;10;20;12;16,9;1,8;44
11.05.2023;15:00;66,8;11;23;13;17,5;1,5;51
11.05.2023;16:00;67,6;10;24;13;17,4;1,6;45
11.05.2023;17:00;69,2;11;27;14;17,3;1,5;42
11.05.2023;18:00;74,6;11;35;14;16,1;1,9;24
11.05.2023;19:00;82,6;<7;36;15;15,0;1,5;14
11.05.2023;20:00;83,6;<7;37;16;14,6;1,1;19
11.05.2023;21:00;85,2;11;37;16;14,4;1,2;37
11.05.2023;22:00;87,2;8;38;16;14,1;0,9;45
11.05.2023;23:00;88,4;8;33;17;14,0;0,8;48
11.05.2023;24:00;90,2;<7;26;17;13,7;1,0;42
12.05.2023;01:00;90,9;<7;18;17;13,6;1,2;44
12.05.2023;02:00;90,9;<7;16;18;13,4;0,7;71
12.05.2023;03:00;90,6;<7;13;18;13,7;1,1;94
12.05.2023;04:00;91,5;<7;14;18;13,4;1,2;29
12.05.2023;05:00;91,4;<7;18;18;13,3;0,9;359
12.05.2023;06:00;89,3;<7;26;18;13,5;1,1;330
12.05.2023;07:00;86,0;10;29;18;13,5;1,3;313
12.05.2023;08:00;82,2;<7;17;17;14,1;1,7;248
12.05.2023;09:00;77,0;<7;13;17;15,0;2,2;230
12.05.2023;10:00;73,3;;;16;15,5;2,2;237
12.05.2023;11:00;69,1;<7;12;16;16,6;2,0;230
12.05.2023;12:00;62,6;<7;15;15;18,2;2,0;237
12.05.2023;13:00;58,9;<7;15;15;19,1;1,6;265
12.05.2023;14:00;50,3;<7;19;15;20,5;1,6;254
12.05.2023;15:00;45,8;<7;19;14;21,1;1,5;304
12.05.2023;16:00;46,7;<7;18;14;20,6;2,1;224
12.05.2023;17:00;48,2;<7;28;13;20,5;1,2;239
12.05.2023;18:00;47,5;<7;31;13;20,7;0,9;305
12.05.2023;19:00;58,1;<7;33;12;18,9;1,3;356
12.05.2023;20:00;67,6;<7;29;12;17,2;1,0;1
12.05.2023;21:00;71,9;<7;50;12;16,8;0,7;243
12.05.2023;22:00;74,8;17;65;12;16,5;0,7;21
12.05.2023;23:00;77,1;8;58;12;15,9;0,7;21
12.05.2023;24:00;78,8;17;59;12;15,5;0,6;32
13.05.2023;01:00;78,2;19;62;12;15,8;0,4;
13.05.2023;02:00;79,9;10;54;13;14,9;0,8;43
13.05.2023;03:00;82,3;<7;45;13;13,8;0,7;36
13.05.2023;04:00;83,2;7;48;14;13,4;0,7;37
13.05.2023;05:00;84,7;14;47;14;12,9;0,8;31
13.05.2023;06:00;85,7;27;42;15;12,8;0,9;36
13.05.2023;07:00;85,8;32;36;16;13,2;0,8;10
13.05.2023;08:00;80,7;29;35;16;14,4;1,0;228
13.05.2023;09:00;67,5;16;37;17;16,5;0,9;202
13.05.2023;10:00;61,2;15;37;18;18,0;0,9;47
13.05.2023;11:00;50,4;;;18;20,5;1,0;68
